Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberry Pi,BIKE-L1,PQC,Encapsulation,36,0.002751,6392,100%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,36,0.042182,6392,100%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,36,0.268483,6392,100%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,36,0.000329,6392,100%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,36,0.066508,6392,100%
Raspberry Pi,Kyber-768,PQC,KeyGen,37,0.005330,6388,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,37,0.000114,6388,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,37,0.000089,6388,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,37,0.051799,6388,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,37,0.002783,6388,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,37,0.043015,6388,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,37,0.615518,6388,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,37,0.000343,6388,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,37,0.066667,6388,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,38,0.005294,6384,100%
Raspberry Pi,Kyber-768,PQC,Encapsulation,38,0.000115,6384,100%
Raspberry Pi,Kyber-768,PQC,Decapsulation,38,0.000089,6384,100%
Raspberry Pi,BIKE-L1,PQC,KeyGen,38,0.051595,6384,100%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,38,0.002773,6384,100%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,38,0.042090,6384,100%
