Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberri Pi,ML-DSA-44,PQC,KeyGen,38,0.005545,5880,98%
Raspberri Pi,ML-DSA-44,PQC,Sign,38,0.000350,5880,98%
Raspberri Pi,ML-DSA-44,PQC,Verify,38,0.000165,5880,98%
Raspberri Pi,Falcon-512,PQC,KeyGen,38,0.021431,5880,98%
Raspberri Pi,Falcon-512,PQC,Sign,38,0.000990,5880,98%
Raspberri Pi,Falcon-512,PQC,Verify,38,0.000117,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,38,0.002815,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,38,0.063975,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,38,0.003737,5880,98%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,39,0.005547,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,39,0.000645,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,39,0.000166,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,39,0.022332,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,39,0.001026,5880,100%
